delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
0.2,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
0.3,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
0.4,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
0.5,RR Hendricks,SS Cottrell,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
0.6,RR Hendricks,SS Cottrell,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.1,MN van Wyk,CR Brathwaite,{'wides': 5},RR Hendricks,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0.0,0.0,0,0,0,0,0,0,5,5,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.2,MN van Wyk,CR Brathwaite,{'wides': 1},RR Hendricks,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.3,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.4,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.5,RR Hendricks,CR Brathwaite,{'wides': 1},MN van Wyk,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.6,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.7,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.8,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
1.9,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.1,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.2,RR Hendricks,SS Cottrell,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.3,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.4,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.5,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
2.6,MN van Wyk,SS Cottrell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.1,RR Hendricks,AD Russell,0,MN van Wyk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.2,RR Hendricks,AD Russell,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.3,MN van Wyk,AD Russell,0,RR Hendricks,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.4,MN van Wyk,AD Russell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.5,MN van Wyk,AD Russell,0,RR Hendricks,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
3.6,MN van Wyk,AD Russell,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.1,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.2,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.3,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.4,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.5,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
4.6,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.1,RR Hendricks,AR Nurse,0,MN van Wyk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.2,RR Hendricks,AR Nurse,0,MN van Wyk,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.3,RR Hendricks,AR Nurse,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.4,RR Hendricks,AR Nurse,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.5,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
5.6,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.1,RR Hendricks,CR Brathwaite,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.2,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.3,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.4,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.5,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
6.6,MN van Wyk,CR Brathwaite,0,RR Hendricks,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.1,RR Hendricks,AR Nurse,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.2,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.3,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.4,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.5,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
7.6,MN van Wyk,AR Nurse,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.1,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.2,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.3,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.4,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.5,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.6,MN van Wyk,DJ Bravo,{'wides': 1},RR Hendricks,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
8.7,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.1,RR Hendricks,MN Samuels,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.2,RR Hendricks,MN Samuels,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.3,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.4,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.5,RR Hendricks,MN Samuels,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
9.6,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.1,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.2,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.3,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.4,MN van Wyk,DJ Bravo,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.5,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
10.6,RR Hendricks,DJ Bravo,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.1,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.2,RR Hendricks,MN Samuels,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.3,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.4,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.5,RR Hendricks,MN Samuels,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
11.6,MN van Wyk,MN Samuels,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.1,MN van Wyk,KA Pollard,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.2,RR Hendricks,KA Pollard,0,MN van Wyk,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.3,MN van Wyk,KA Pollard,0,RR Hendricks,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.4,RR Hendricks,KA Pollard,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['DR Smith'], 'kind': 'caught', 'player_out': 'RR Hendricks'}",0.0,0.0,0.0,0,0,caught,RR Hendricks,['DR Smith'],0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.5,MN van Wyk,KA Pollard,0,D Wiese,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
12.6,MN van Wyk,KA Pollard,0,D Wiese,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
13.1,MN van Wyk,MN Samuels,0,D Wiese,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
13.2,D Wiese,MN Samuels,0,MN van Wyk,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
13.3,D Wiese,MN Samuels,0,MN van Wyk,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,South Africa,Durban,2015-01-14,male,T20,0,South Africa,runs,69,0,0,0,0,MN van Wyk,20,South Africa,West Indies,West Indies,field,Kingsmead
