delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,ST Jayasuriya,TT Bresnan,{'wides': 1},WU Tharanga,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.2,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.3,WU Tharanga,TT Bresnan,{'wides': 1},ST Jayasuriya,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.4,WU Tharanga,TT Bresnan,{'wides': 1},ST Jayasuriya,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.5,WU Tharanga,TT Bresnan,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.6,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.7,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.8,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
0.9,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.1,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.2,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.3,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.4,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.5,ST Jayasuriya,SJ Harmison,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
1.6,ST Jayasuriya,SJ Harmison,0,WU Tharanga,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.1,WU Tharanga,TT Bresnan,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.2,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.3,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.4,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.5,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
2.6,ST Jayasuriya,TT Bresnan,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.1,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.2,ST Jayasuriya,SJ Harmison,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.3,ST Jayasuriya,SJ Harmison,0,WU Tharanga,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.4,WU Tharanga,SJ Harmison,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.5,ST Jayasuriya,SJ Harmison,{'wides': 1},WU Tharanga,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
3.6,ST Jayasuriya,SJ Harmison,0,WU Tharanga,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Southampton,2006-06-15,male,T20,0,Sri Lanka,runs,2,0,0,0,0,ST Jayasuriya,20,England,Sri Lanka,Sri Lanka,bat,The Rose Bowl
