delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
0.2,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
0.3,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
0.4,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
0.5,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
0.6,C Kieswetter,Shapoor Zadran,0,AD Hales,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'C Kieswetter'}",0.0,0.0,0.0,0.0,0,bowled,C Kieswetter,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
1.1,AD Hales,Dawlat Zadran,0,LJ Wright,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
1.2,AD Hales,Dawlat Zadran,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
1.3,AD Hales,Dawlat Zadran,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
1.4,AD Hales,Dawlat Zadran,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,England,Colombo,2012-09-21,male,T20,1,England,runs,116,0,0,0,0,LJ Wright,20,Afghanistan,England,Afghanistan,field,R Premadasa Stadium
