delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
0.2,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
0.3,L Siaka,Mohammad Naveed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
0.4,L Siaka,Mohammad Naveed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
0.5,L Siaka,Mohammad Naveed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
0.6,L Siaka,Mohammad Naveed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.1,TP Ura,Amjad Javed,0,L Siaka,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.2,TP Ura,Amjad Javed,0,L Siaka,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.3,TP Ura,Amjad Javed,0,L Siaka,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.4,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.5,TP Ura,Amjad Javed,0,L Siaka,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
1.6,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.1,L Siaka,Mohammad Naveed,0,TP Ura,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.2,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.3,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.4,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.5,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
2.6,TP Ura,Mohammad Naveed,0,L Siaka,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.1,TP Ura,Amjad Javed,0,L Siaka,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.2,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.3,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.4,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.5,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
3.6,L Siaka,Amjad Javed,0,TP Ura,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Papua New Guinea,Abu Dhabi,2017-04-14,male,T20,0,United Arab Emirates,wickets,5,0,0,0,0,0,20,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Sheikh Zayed Stadium
