delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JM How,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
0.2,JM How,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
0.3,JM How,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
0.4,JM How,SCJ Broad,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
0.5,BB McCullum,SCJ Broad,0,JM How,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
0.6,BB McCullum,SCJ Broad,0,JM How,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.1,JM How,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['OA Shah'], 'kind': 'caught', 'player_out': 'JM How'}",0.0,0,0.0,0,0,caught,JM How,['OA Shah'],0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.2,JAH Marshall,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.3,JAH Marshall,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.4,JAH Marshall,JM Anderson,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.5,JAH Marshall,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
1.6,JAH Marshall,JM Anderson,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.1,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.2,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.3,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.4,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.5,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
2.6,JAH Marshall,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['TR Ambrose'], 'kind': 'caught', 'player_out': 'JAH Marshall'}",0.0,0,0.0,0,0,caught,JAH Marshall,['TR Ambrose'],0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.1,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.2,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.3,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.4,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.5,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
3.6,BB McCullum,JM Anderson,0,LRPL Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.1,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.2,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.3,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.4,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.5,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
4.6,LRPL Taylor,SCJ Broad,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.1,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.2,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.3,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.4,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.5,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
5.6,LRPL Taylor,JM Anderson,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
6.1,BB McCullum,LJ Wright,0,LRPL Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
6.2,LRPL Taylor,LJ Wright,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
6.3,LRPL Taylor,LJ Wright,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Manchester,2008-06-13,male,T20,0,England,wickets,9,0,0,0,0,IR Bell,20,England,New Zealand,England,field,Old Trafford
