delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
2.5,HML Madushani,M Daniels,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
2.6,HML Madushani,M Daniels,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.1,AC Jayangani,S Ismail,0,HML Madushani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.2,HML Madushani,S Ismail,0,AC Jayangani,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.3,HML Madushani,S Ismail,0,AC Jayangani,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.4,HML Madushani,S Ismail,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.5,AC Jayangani,S Ismail,0,HML Madushani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
3.6,AC Jayangani,S Ismail,0,HML Madushani,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
4.1,HML Madushani,M Daniels,0,AC Jayangani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
4.2,HML Madushani,M Daniels,0,AC Jayangani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
4.3,AC Jayangani,M Daniels,0,HML Madushani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
4.4,AC Jayangani,M Daniels,0,HML Madushani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
4.5,HML Madushani,M Daniels,0,AC Jayangani,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sri Lanka,Potchefstroom,2013-11-02,female,T20,0,Sri Lanka,runs,20,0,0,0,0,HASD Siriwardene,20,South Africa,Sri Lanka,South Africa,field,Senwes Park
