,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,DL Lloyd,DI Stevens,0,JA Rudolph,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
1,0.2,JA Rudolph,DI Stevens,0,DL Lloyd,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
2,0.3,JA Rudolph,DI Stevens,0,DL Lloyd,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
3,0.4,DL Lloyd,DI Stevens,0,JA Rudolph,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
4,0.5,JA Rudolph,DI Stevens,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
5,0.6,JA Rudolph,DI Stevens,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
6,1.1,DL Lloyd,MT Coles,0,JA Rudolph,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
7,1.2,DL Lloyd,MT Coles,0,JA Rudolph,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
8,1.3,JA Rudolph,MT Coles,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
9,1.4,JA Rudolph,MT Coles,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Glamorgan,Cardiff,2016-06-17,male,T20,0,Glamorgan,runs,55,0,0,0,0,DL Lloyd,20,Glamorgan,Kent,Kent,field,Sophia Gardens
