,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,TP Alsop,JC Archer,0,AJA Wheater,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
1,0.2,AJA Wheater,JC Archer,0,TP Alsop,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
2,0.3,AJA Wheater,JC Archer,0,TP Alsop,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
3,0.4,AJA Wheater,JC Archer,0,TP Alsop,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
4,0.5,TP Alsop,JC Archer,0,AJA Wheater,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
5,0.6,TP Alsop,JC Archer,0,AJA Wheater,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
6,1.1,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
7,1.2,AJA Wheater,TS Mills,{'wides': 1},TP Alsop,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
8,1.3,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
9,1.4,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
10,1.5,AJA Wheater,TS Mills,{'noballs': 2},TP Alsop,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,2.0,0.0,0.0,0,0,0,0,0,2,2,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
11,1.6,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
12,1.7,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
13,1.8,AJA Wheater,TS Mills,0,TP Alsop,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
14,2.1,TP Alsop,JC Archer,0,AJA Wheater,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hampshire,Hove,2016-07-15,male,T20,0,Hampshire,runs,1,0,0,0,0,BTJ Wheal,20,Sussex,Hampshire,Hampshire,bat,County Ground
