,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
1,0.2,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
2,0.3,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
3,0.4,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
4,0.5,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
5,0.6,HH Gibbs,BE Young,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
6,1.1,SE Marsh,NM Lyon,0,HH Gibbs,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
7,1.2,SE Marsh,NM Lyon,0,HH Gibbs,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
8,1.3,SE Marsh,NM Lyon,0,HH Gibbs,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
9,1.4,SE Marsh,NM Lyon,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
10,1.5,HH Gibbs,NM Lyon,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
11,1.6,HH Gibbs,NM Lyon,0,SE Marsh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
12,2.1,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
13,2.2,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
14,2.3,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
15,2.4,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
16,2.5,SE Marsh,BE Young,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
17,2.6,HH Gibbs,BE Young,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
18,3.1,SE Marsh,SW Tait,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
19,3.2,SE Marsh,SW Tait,0,HH Gibbs,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
20,3.3,SE Marsh,SW Tait,0,HH Gibbs,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
21,3.4,HH Gibbs,SW Tait,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
22,3.5,HH Gibbs,SW Tait,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
23,3.6,HH Gibbs,SW Tait,0,SE Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
24,4.1,HH Gibbs,BE Young,0,SE Marsh,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Perth Scorchers,0,2013-01-10,male,T20,0,Perth Scorchers,runs,98,0,0,0,0,SE Marsh,20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval
