delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
0.2,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
0.3,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
0.4,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
0.5,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
0.6,MD Stoneman,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.1,P Mustard,OJ Hannon-Dalby,0,MD Stoneman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.2,MD Stoneman,OJ Hannon-Dalby,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['L Ronchi'], 'kind': 'caught', 'player_out': 'MD Stoneman'}",0.0,0.0,0.0,0.0,0,caught,MD Stoneman,['L Ronchi'],0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.3,G Clark,OJ Hannon-Dalby,0,P Mustard,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.4,P Mustard,OJ Hannon-Dalby,0,G Clark,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.5,P Mustard,OJ Hannon-Dalby,0,G Clark,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
1.6,P Mustard,OJ Hannon-Dalby,0,G Clark,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
2.1,G Clark,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
2.2,G Clark,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
2.3,G Clark,R Clarke,0,P Mustard,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JE Poysden'], 'kind': 'caught', 'player_out': 'G Clark'}",0.0,0.0,0.0,0.0,0,caught,G Clark,['JE Poysden'],0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
2.4,P Mustard,R Clarke,0,MJ Richardson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Durham,Birmingham,2016-06-03,male,T20,0,Warwickshire,wickets,9,0,0,0,0,V Chopra,20,Warwickshire,Durham,Warwickshire,field,Edgbaston
