delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DL Lloyd,DD Masters,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
0.2,DL Lloyd,DD Masters,0,MA Wallace,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
0.3,DL Lloyd,DD Masters,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
0.4,DL Lloyd,DD Masters,0,MA Wallace,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
0.5,DL Lloyd,DD Masters,0,MA Wallace,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
0.6,MA Wallace,DD Masters,0,DL Lloyd,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
1.1,DL Lloyd,MR Quinn,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
1.2,DL Lloyd,MR Quinn,0,MA Wallace,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
1.3,DL Lloyd,MR Quinn,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
1.4,DL Lloyd,MR Quinn,0,MA Wallace,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Glamorgan,Chelmsford,2016-07-29,male,T20,0,0,0,0,0,0,0,0,0,20,Essex,Glamorgan,Essex,field,County Ground
