,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,CJ Simmons,JH Kallis,0,TP Ludeman,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
1,0.2,CJ Simmons,JH Kallis,0,TP Ludeman,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
2,0.3,CJ Simmons,JH Kallis,0,TP Ludeman,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
3,0.4,CJ Simmons,JH Kallis,0,TP Ludeman,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3.0,0.0,3.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
4,0.5,TP Ludeman,JH Kallis,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
5,0.6,TP Ludeman,JH Kallis,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
6,1.1,CJ Simmons,JK Lalor,0,TP Ludeman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
7,1.2,TP Ludeman,JK Lalor,0,CJ Simmons,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
8,1.3,TP Ludeman,JK Lalor,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CD Hartley'], 'kind': 'caught', 'player_out': 'TP Ludeman'}",0.0,0.0,0.0,0.0,0,caught,TP Ludeman,['CD Hartley'],0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
9,1.4,JR Dean,JK Lalor,0,CJ Simmons,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
10,1.5,JR Dean,JK Lalor,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
11,1.6,JR Dean,JK Lalor,0,CJ Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
12,2.1,JR Dean,GS Sandhu,0,CJ Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
13,2.2,CJ Simmons,GS Sandhu,{'legbyes': 1},JR Dean,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,1.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
14,2.3,JR Dean,GS Sandhu,0,CJ Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
15,2.4,CJ Simmons,GS Sandhu,0,JR Dean,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
16,2.5,JR Dean,GS Sandhu,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JH Kallis'], 'kind': 'caught', 'player_out': 'JR Dean'}",0.0,0.0,0.0,0.0,0,caught,JR Dean,['JH Kallis'],0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
17,2.6,CJ Simmons,GS Sandhu,0,RN ten Doeschate,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
18,3.1,RN ten Doeschate,JH Kallis,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
19,3.2,RN ten Doeschate,JH Kallis,0,CJ Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
20,3.3,CJ Simmons,JH Kallis,0,RN ten Doeschate,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
21,3.4,CJ Simmons,JH Kallis,0,RN ten Doeschate,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
22,3.5,CJ Simmons,JH Kallis,0,RN ten Doeschate,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
23,3.6,RN ten Doeschate,JH Kallis,0,CJ Simmons,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
24,4.1,CJ Simmons,NM Hauritz,0,RN ten Doeschate,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
25,4.2,CJ Simmons,NM Hauritz,0,RN ten Doeschate,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
26,4.3,RN ten Doeschate,NM Hauritz,0,CJ Simmons,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Adelaide Strikers,0,2015-01-12,male,T20,0,0,0,0,0,0,0,0,0,20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Oval
