,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
1,0.2,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
2,0.3,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
3,0.4,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0.0,6.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
4,0.5,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
5,0.6,Mohammad Shahzad,HA Varaiya,0,Karim Sadiq,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
6,1.1,Karim Sadiq,SO Ngoche,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
7,1.2,Mohammad Shahzad,SO Ngoche,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
8,1.3,Mohammad Shahzad,SO Ngoche,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
9,1.4,Mohammad Shahzad,SO Ngoche,0,Karim Sadiq,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
10,1.5,Mohammad Shahzad,SO Ngoche,0,Karim Sadiq,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
11,1.6,Mohammad Shahzad,SO Ngoche,0,Karim Sadiq,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Afghanistan,0,2013-09-30,male,T20,1,Afghanistan,runs,106,0,0,0,0,Hamid Hassan,20,Afghanistan,Kenya,Afghanistan,bat,Sharjah Cricket Stadium
